# 대사 CSV 샘플.
#  · 첫 줄이 헤더. 칸 순서는 상관없다.
#  · '#' 으로 시작하는 줄은 무시된다.
#  · 쉼표나 줄바꿈이 든 대사는 "큰따옴표"로 감싼다. 따옴표 자체는 "" 두 개.
#  · cast 를 비우면 이전 줄의 무대를 그대로 쓴다.
#  · 한 칸 문법은 '키/표정@자리'. 표정과 자리는 둘 다 생략 가능.
#      bonemaster            /  bonemaster/angry
#      bonemaster@오른쪽     /  bonemaster/angry@오른쪽
#    자리: 왼쪽 / 가운데 / 오른쪽 (left / center / right 도 됨).
#    안 찍으면 적은 순서대로 왼쪽 → 오른쪽 → 가운데 로 알아서 선다.
#  · speaker 를 비우면 나레이션(이름칸 숨김, 전원 어둡게).
#  · text_ko 대신 text 라고만 써도 된다. 나중에 text_en 칸을 추가하면 그게 영어판이다.
#  · 반드시 UTF-8 로 저장할 것 (엑셀은 "CSV UTF-8" 선택).
id,cast,speaker,name,text_ko
bm_intro,player|bonemaster,bonemaster,,"드디어 왔군, 애송이."
bm_intro,,player,,…준비됐어.
bm_intro,,bonemaster/angry,,<shake>네놈의 뼈도 내 것이 된다.</shake>
bm_intro,,,,뼈들이 일제히 일어섰다.
shop_hello,merchant,merchant,,"어서 오게. 오늘은 물건이 좋아."
shop_hello,,merchant,,"천천히 둘러보라고, 도망갈 물건도 아니니."
layout_test,player,player,,한 명이면 왼쪽에 혼자 선다.
layout_test,player|bonemaster,bonemaster,,둘째는 오른쪽. 양 끝으로 벌어진다.
layout_test,player|bonemaster|merchant,merchant,,셋째가 그 사이 가운데에 낀다.
layout_test,,player,,cast 를 비우면 무대는 그대로 두고 화자만 바뀐다.
layout_test,player@오른쪽|bonemaster@왼쪽,bonemaster,,자리를 찍으면 순서를 무시하고 그 칸에 선다.
layout_test,player@가운데|bonemaster|merchant,merchant,,찍은 놈이 먼저 칸을 잡고 나머지가 빈 칸을 줍는다.
layout_test,player|bonemaster/angry@right,bonemaster/angry,,표정과 자리는 같이 쓸 수 있다.
